sent_id	word_seq	original_word	cyrillic_word	pos
0	0	Google	гоогле	NOUN
0	1	Doodles	доодлес	NOUN
1	0	Bul	бул	PRON
1	1	algoritmlerdi	алгоритмлерди	ADJ
1	2	anıq	аніқ	NOUN
1	3	qádemler	қáдемлер	NOUN
1	4	menen	менен	CCONJ
1	5	ámelge	áмелге	NOUN
1	6	asıratuǵın	асіратуғін	ADJ
1	7	imperativ	императив	NOUN
1	8	programmalastırıwǵa	программаластіріўға	VERB
1	9	qarama-qarsı.	қарама	PUNCT
1	10	-қарсі	-қарсі	PUNCT
1	11	.	.	PUNCT
2	0	Jańalanǵan	жаңаланған	VERB
2	1	qupıyalıq	қупійаліқ	ADJ
2	2	menyuları	менйуларі	NOUN
2	3	paydalanıwshılarǵa	пайдаланіўшіларға	PRON
2	4	hárbir	һáрбир	ADJ
2	5	qosımsha	қосімша	NOUN
2	6	ushın	ушін	ADP
2	7	anıǵıraq	аніғірақ	ADJ
2	8	qupıyalıq	қупійаліқ	ADJ
2	9	ruqsat	руқсат	NOUN
2	10	basqarıwların	басқаріўларін	NOUN
2	11	beriw	бериў	VERB
2	12	menen	менен	CCONJ
2	13	birge,	бирге	PUNCT
2	14	qosımshalar	,	PUNCT
2	15	hárbir	қосімшалар	NOUN
2	16	kategoriyadaǵı	һáрбир	ADJ
2	17	informaciyaǵa	категорийадағі	ADJ
2	18	kiriwdi	информаcийаға	NOUN
2	19	qálegende	кириўди	VERB
2	20	jańa	қáлегенде	NOUN
2	21	xabarlandırıwlar	жаңа	ADJ
2	22	beredi.	xабарландіріўлар	PUNCT
2	23	береди	береди	VERB
2	24	.	.	PUNCT
3	0	PGAS-tıń	пгас-тің	PUNCT
3	1	jańalıǵı	жаңаліғі	NOUN
3	2	-	-	PUNCT
3	3	bólisilgen	бөлисилген	VERB
3	4	yad	йад	NOUN
3	5	keńisliginiń	кеңислигиниң	NOUN
3	6	bólimleri	бөлимлери	NOUN
3	7	belgili	белгили	ADJ
3	8	bir	бир	NUM
3	9	processke	проcесске	NOUN
3	10	jaqın	жақін	ADJ
3	11	bolıwı	боліўі	VERB
3	12	múmkin,	мүмкин	PUNCT
3	13	solay	,	PUNCT
3	14	etip	солай	PRON
3	15	ónimlilikti	етип	VERB
3	16	jaqsılaw	өнимлиликти	NOUN
3	17	ushın	жақсілаў	ADP
3	18	jergilikli	ушін	ADJ
3	19	siltemelerden	жергиликли	ADJ
3	20	qollanadı.	силтемелерден	PUNCT
3	21	қолланаді	қолланаді	VERB
3	22	.	.	PUNCT
4	0	Liverpul	ливерпул	NOUN
4	1	(qızıl)	(	PUNCT
4	2	oyınshıları	қізіл	ADJ
4	3	Chelsidiń	)	PUNCT
4	4	(kók)	ойіншіларі	PUNCT
4	5	múyesh	челсидиң	NOUN
4	6	soqqısınan	(	PUNCT
4	7	qorǵanıwǵa	көк	ADJ
4	8	tayarlanıp	)	PUNCT
4	9	atır.	мүйеш	PUNCT
4	10	соққісінан	соққісінан	NOUN
4	11	қорғаніўға	қорғаніўға	VERB
4	12	тайарланіп	тайарланіп	VERB
4	13	атір	атір	VERB
4	14	.	.	PUNCT
5	0	Keyingi	кейинги	ADJ
5	1	jılı	жілі	ADJ
5	2	Google	гоогле	NOUN
5	3	óz	өз	DET
5	4	veb-saytlarına	веб-сайтларіна	PUNCT
5	5	kiriwlerdiń	кириўлердиң	VERB
5	6	shama	шама	NOUN
5	7	menen	менен	CCONJ
5	8	bes	бес	NUM
5	9	procenti	проcенти	NOUN
5	10	reklamalıq	рекламаліқ	ADJ
5	11	programmaları	программаларі	NOUN
5	12	bar	бар	ADJ
5	13	keńeytpeler	кеңейтпелер	NOUN
5	14	tárepinen	тáрепинен	NOUN
5	15	ózgertilgenin	өзгертилгенин	NOUN
5	16	moyınladı.	мойінладі	PUNCT
5	17	.	.	PUNCT
6	0	Sistemanıń	системанің	NOUN
6	1	ulıwma	уліўма	NOUN
6	2	qásiyetlerin	қáсийетлерин	NOUN
6	3	anıqlaw	аніқлаў	VERB
6	4	hám	һáм	CCONJ
6	5	manipulyaciyalaw	манипулйаcийалаў	NOUN
6	6	zárúrligi,	зáрүрлиги	PUNCT
6	7	quramalı	,	ADJ
6	8	injenerlik	қурамалі	ADJ
6	9	proektlerde	инженерлик	NOUN
6	10	bóleklerdiń	проектлерде	NOUN
6	11	qásiyetleriniń	бөлеклердиң	ADJ
6	12	jıynaǵınan	қáсийетлериниң	NOUN
6	13	úlken	жійнағінан	NOUN
6	14	ayırmashılıqqa	үлкен	ADJ
6	15	iye	айірмашіліққа	NOUN
6	16	bolıwı	ийе	VERB
6	17	múmkin,	боліўі	PUNCT
6	18	hár	мүмкин	ADJ
6	19	qıylı	,	ADJ
6	20	sanaat	һáр	ADJ
6	21	tarawlarınıń	қійлі	ADJ
6	22	bul	санаат	PRON
6	23	tártipti	тараўларінің	NOUN
6	24	qollanıwına	бул	NOUN
6	25	túrtki	тáртипти	ADJ
6	26	boldı.	қолланіўіна	PUNCT
6	27	түртки	түртки	ADJ
6	28	болді	болді	VERB
6	29	.	.	PUNCT
7	0	Ayırım	айірім	NOUN
7	1	jurnalistler	журналистлер	NOUN
7	2	hám	һáм	CCONJ
7	3	ilimpazlar	илимпазлар	NOUN
7	4	CZI	cзи	NOUN
7	5	filantrokapitalizm	филантрокапитализм	NOUN
7	6	menen	менен	PRON
7	7	shuǵıllanadı	шуғілланаді	VERB
7	8	dep	деп	VERB
7	9	aytqan[108][109][110].	айтқан	PUNCT
7	10	[108	[108	PUNCT
7	11	]	]	PUNCT
7	12	[109	[109	PUNCT
7	13	]	]	PUNCT
7	14	[110	[110	PUNCT
7	15	]	]	PUNCT
7	16	.	.	PUNCT
8	0	Freymvorktiń	фреймворктиң	NOUN
8	1	dáslepki	дáслепки	NOUN
8	2	avtorı	авторі	NOUN
8	3	Gilermo	гилермо	NOUN
8	4	Raux	рауx	NOUN
8	5	házirgi	һáзирги	NOUN
8	6	waqıtta	ўақітта	NOUN
8	7	Vercel	верcел	NOUN
8	8	kompaniyasınıń	компанийасінің	NOUN
8	9	bas	бас	NOUN
8	10	direktorı,	директорі	PUNCT
8	11	al	,	PUNCT
8	12	proekttiń	ал	CCONJ
8	13	baslı	проекттиң	ADJ
8	14	qollap-quwatlawshısı	баслі	PUNCT
8	15	Tim	қоллап-қуўатлаўшісі	NOUN
8	16	Noytkens	тим	ADJ
8	17	bolıp	нойткенс	NOUN
8	18	tabıladı.	боліп	PUNCT
8	19	табіладі	табіладі	VERB
8	20	.	.	PUNCT
9	0	freemyipod/q3k	фреемйипод/қ3к	PUNCT
9	1	tárepinen	тáрепинен	NOUN
9	2	iPod	ипод	NOUN
9	3	Nano	нано	NOUN
9	4	5G	5г	NUM
9	5	ushın	ушін	ADP
9	6	tiykarǵı	тийкарғі	NOUN
9	7	Linux	линуx	NOUN
9	8	yadrosınıń	йадросінің	NOUN
9	9	eksperimental	експериментал	NOUN
9	10	portı	порті	NOUN
9	11	bar.	бар	PUNCT
9	12	.	.	PUNCT
10	0	Házirgi	һáзирги	ADJ
10	1	foto	фото	NOUN
