SentID   | Seq   | Original               | Cyrillic              | POS
---------------------------------------------------------------------------
0        | 0     | Modelge                | моделге               | NOUN
0        | 1     | tiykarlanǵan           | тийкарланған          | VERB
0        | 2     | rawajlandırıw          | раўажландіріў         | NOUN
0        | 3     | hám                    | ҳáм                   | CCONJ
0        | 4     | komponentke            | компонентке           | NOUN
0        | 5     | tiykarlanǵan           | тийкарланған          | VERB
0        | 6     | rawajlandırıwdan       | раўажландіріўдан      | NOUN
0        | 7     | alınǵan                | алінған               | VERB
0        | 8     | túsinikler             | түсиниклер            | NOUN
0        | 9     | bir-birin              | бир-бирин             | PRON
0        | 10    | kúsheytedi             | күшейтеди             | VERB
0        | 11    | .                      | .                     | PUNCT
0        | 12    | Sistemanıń             | системаниң            | NOUN
0        | 13    | erte                   | ерте                  | ADV
0        | 14    | ,                      | ,                     | PUNCT
0        | 15    | joqarı                 | жоқарі                | ADJ
0        | 16    | dárejedegi             | дáрежедеги            | ADJ
0        | 17    | kórinisi               | көриниси              | NOUN
0        | 18    | AUTOSAR                | AUTOSAR               | PROPN
0        | 19    | tiliniń                | тилиниң               | NOUN
0        | 20    | detallı                | деталлі               | ADJ
0        | 21    | specifikaciyalarına    | спецификацияларына    | NOUN
0        | 22    | kemshiliksiz           | кемшиликсиз           | ADJ
0        | 23    | túrde                  | түрде                 | ADV
0        | 24    | ótiwi                  | өтиўи                 | NOUN
0        | 25    | múmkin                 | мүмкин                | ADJ
0        | 26    | .                      | .                     | PUNCT
1        | 0     | Qarastırılǵan          | қарастірилған         | VERB
1        | 1     | máseleler              | мәселелер             | NOUN
1        | 2     | qatarına               | қатарына              | NOUN
1        | 3     | tómendegiler           | төмендегилер          | PRON
1        | 4     | kiredi                 | киреди                | VERB
1        | 5     | :                      | :                     | PUNCT
2        | 0     | Bul                    | бул                   | DET
2        | 1     | gilttiń                | гилттиң               | NOUN
2        | 2     | shıǵarılıwı            | шығарылыўы            | NOUN
2        | 2     | shıǵarılıwı            | шығарылыўы            | NOUN
2        | 3     | giltti                 | гилтти                | NOUN
2        | 4     | paydalanıw             | пайдаланыў            | NOUN
2        | 5     | ushın                  | ушын                  | ADP
2        | 6     | ózgertilgen            | өзгертилген           | VERB
2        | 7     | úshinshi               | үшинши                | ADJ
2        | 8     | tárep                  | тáреп                 | NOUN
2        | 9     | programmalıq           | программаліқ          | ADJ
2        | 10    | támiynatı              | тáмийнаті             | NOUN
2        | 11    | hám                    | һáм                   | CCONJ
2        | 12    | qurılmaları            | қурылмалары           | NOUN
2        | 13    | AirPlay                | АирПлай               | PROPN
2        | 14    | aǵımların              | ағымларын             | NOUN
2        | 15    | deshifrlay             | дешифрлай             | VERB
2        | 16    | hám                    | һáм                   | CCONJ
2        | 17    | oynata                 | ойната                | VERB
2        | 18    | yamasa                 | йамаса                | CCONJ
2        | 19    | saqlay                 | сақлай                | VERB
2        | 20    | alatuǵının             | алатуғынын            | VERB
2        | 21    | ańlatadı               | аңлатады              | VERB
2        | 22    | .                      | .                     | PUNCT
3        | 0     | Solay                  | солай                 | PRON
3        | 1     | etip                   | етип                  | VERB
3        | 2     | ,                      | ,                     | PUNCT
3        | 3     | artıqsha               | артықша               | ADJ
3        | 4     | qatnas                 | қатнас                | NOUN
3        | 5     | birdey                 | бирдей                | ADJ
3        | 6     | ,                      | ,                     | PUNCT
3        | 7     | tek                    | тек                   | ADV
