sent_id	word_seq	token_cyr	pos
0	0	гоогле	NOUN
0	1	доодлес	NOUN
1	0	бул	NOUN
1	1	алгоритмлерди	ADJ
1	2	аніқ	NOUN
1	3	қáдемлер	NOUN
1	4	менен	CCONJ
1	5	áмелге	NOUN
1	6	асіратуғін	ADJ
1	7	императив	NOUN
1	8	программаластіріўға	VERB
1	9	қарама	ADJ
1	10	-қарсі	ADJ
1	11	.	PUNCT
2	0	жаңаланған	VERB
2	1	қупійаліқ	ADJ
2	2	менйуларі	NOUN
2	3	пайдаланіўшіларға	PRON
2	4	һáрбир	ADJ
2	5	қосімша	NOUN
2	6	ушін	CCONJ
2	7	аніғірақ	ADJ
2	8	қупійаліқ	ADJ
2	9	руқсат	NOUN
2	10	басқаріўларін	NOUN
2	11	бериў	VERB
2	12	менен	CCONJ
2	13	бирге	NOUN
2	14	,	PUNCT
2	15	қосімшалар	NOUN
2	16	һáрбир	ADJ
2	17	категорийадағі	ADJ
2	18	информаcийаға	NOUN
2	19	кириўди	VERB
2	20	қáлегенде	NOUN
2	21	жаңа	ADJ
2	22	xабарландіріўлар	NOUN
2	23	береди	VERB
2	24	.	PUNCT
3	0	пгас-тің	NOUN
3	1	жаңаліғі	NOUN
3	2	-	PUNCT
3	3	бөлисилген	VERB
3	4	йад	NOUN
3	5	кеңислигиниң	NOUN
3	6	бөлимлери	NOUN
3	7	белгили	ADP
3	8	бир	NOUN
3	9	проcесске	NOUN
3	10	жақін	ADJ
3	11	боліўі	AUX
3	12	мүмкин	ADJ
3	13	,	PUNCT
3	14	солай	PRON
3	15	етип	VERB
3	16	өнимлиликти	NOUN
3	17	жақсілаў	VERB
3	18	ушін	CCONJ
3	19	жергиликли	ADJ
3	20	силтемелерден	NOUN
3	21	қолланаді	VERB
3	22	.	PUNCT
4	0	ливерпул	NOUN
4	1	(	PUNCT
4	2	қізіл	ADJ
4	3	)	PUNCT
4	4	ойіншіларі	NOUN
4	5	челсидиң	NOUN
4	6	(	PUNCT
4	7	көк	ADJ
4	8	)	PUNCT
4	9	мүйеш	ADJ
4	10	соққісінан	NOUN
4	11	қорғаніўға	VERB
4	12	тайарланіп	VERB
4	13	атір	VERB
4	14	.	PUNCT
5	0	кейинги	ADJ
5	1	жілі	NOUN
5	2	гоогле	NOUN
5	3	өз	DET
5	4	веб-сайтларіна	NOUN
5	5	кириўлердиң	VERB
5	6	шама	NOUN
5	7	менен	CCONJ
5	8	бес	NUM
5	9	проcенти	NOUN
5	10	рекламаліқ	ADJ
5	11	программаларі	NOUN
5	12	бар	ADJ
5	13	кеңейтпелер	NOUN
5	14	тáрепинен	NOUN
5	15	өзгертилгенин	NOUN
5	16	мойінладі	VERB
5	17	.	PUNCT
6	0	системанің	NOUN
6	1	уліўма	NOUN
6	2	қáсийетлерин	NOUN
6	3	аніқлаў	VERB
6	4	һáм	NOUN
6	5	манипулйаcийалаў	NOUN
6	6	зáрүрлиги	VERB
6	7	,	PUNCT
6	8	қурамалі	ADJ
6	9	инженерлик	NOUN
6	10	проектлерде	NOUN
6	11	бөлеклердиң	ADJ
6	12	қáсийетлериниң	NOUN
6	13	жійнағінан	NOUN
6	14	үлкен	ADJ
6	15	айірмашіліққа	NOUN
6	16	ийе	ADJ
6	17	боліўі	AUX
6	18	мүмкин	ADJ
6	19	,	PUNCT
6	20	һáр	ADJ
6	21	қійлі	ADJ
6	22	санаат	NOUN
6	23	тараўларінің	NOUN
6	24	бул	NOUN
6	25	тáртипти	ADJ
6	26	қолланіўіна	NOUN
6	27	түртки	ADJ
6	28	болді	VERB
6	29	.	PUNCT
7	0	айірім	NOUN
7	1	журналистлер	NOUN
7	2	һáм	NOUN
7	3	илимпазлар	NOUN
7	4	cзи	NOUN
7	5	филантрокапитализм	NOUN
7	6	менен	PRON
7	7	шуғілланаді	VERB
7	8	деп	VERB
7	9	айтқан	VERB
7	10	[108	NUM
7	11	]	PUNCT
7	12	[109	NUM
7	13	]	SYM
7	14	[110	NUM
7	15	]	PUNCT
7	16	.	PUNCT
8	0	фреймворктиң	NOUN
8	1	дáслепки	NOUN
8	2	авторі	NOUN
8	3	гилермо	NOUN
8	4	рауx	NOUN
8	5	һáзирги	NOUN
8	6	ўақітта	NOUN
8	7	верcел	NOUN
8	8	компанийасінің	NOUN
8	9	бас	NOUN
8	10	директорі	NOUN
8	11	,	PUNCT
8	12	ал	CCONJ
8	13	проекттиң	NOUN
8	14	баслі	ADJ
8	15	қоллап-қуўатлаўшісі	NOUN
8	16	тим	ADJ
8	17	нойткенс	NOUN
8	18	боліп	AUX
8	19	табіладі	VERB
8	20	.	PUNCT
9	0	фреемйипод/қ3к	NOUN
9	1	тáрепинен	NOUN
9	2	ипод	NOUN
9	3	нано	NOUN
